state,bev_count,phev_count
WA,6088583,2080344
CA,6306,2783
VA,2393,1643
TX,1785,1068
AZ,1147,569
FL,1104,730
MD,1092,866
NY,795,99
OR,746,613
IL,723,161
NC,695,395
CO,691,395
NV,655,295
HI,616,278
MA,459,117
GA,443,348
PA,430,57
Unknown,415,120
NJ,393,263
IN,273,69
MO,272,113
AL,257,96
UT,240,88
ID,219,270
SC,217,273
MN,206,110
DC,151,68
MT,131,78
MI,120,161
CT,120,389
KS,118,140
OK,110,62
OH,107,97
NE,103,97
KY,96,103
MS,73,0
AK,61,132
NH,60,72
LA,57,85
AR,54,23
NM,54,54
WI,52,0
TN,49,96
RI,46,76
DE,43,0
SD,35,0
PR,35,11
WY,17,0
ND,0,34
IA,0,23
ME,0,113
