state,county,total_evs
WA,King,4340690
WA,Snohomish,927965
WA,Pierce,613205
WA,Clark,471871
WA,Kitsap,280883
WA,Thurston,262255
WA,Whatcom,209629
WA,Spokane,197198
WA,Benton,100385
WA,Island,93319
WA,Skagit,90555
WA,Clallam,52643
WA,Jefferson,50594
WA,San Juan,49537
WA,Chelan,47006
WA,Yakima,43869
WA,Cowlitz,40179
WA,Mason,39485
WA,Lewis,34049
WA,Grays Harbor,29847
WA,Kittitas,26280
WA,Franklin,25550
WA,Grant,23734
WA,Walla Walla,20338
WA,Douglas,16680
WA,Whitman,13560
WA,Klickitat,13305
WA,Okanogan,10844
WA,Stevens,10006
WA,Pacific,9836
WA,Skamania,8564
WA,Asotin,3519
WA,Pend Oreille,2401
WA,Adams,2356
WA,Wahkiakum,2288
WA,Lincoln,2214
CA,San Diego,1894
WA,Ferry,1424
CA,Santa Clara,1289
AZ,Maricopa,1283
CA,Los Angeles,1106
VA,Fairfax,894
NV,Clark,768
CA,Orange,758
WA,Columbia,655
OR,Multnomah,621
HI,Honolulu,616
TX,Bexar,552
Unknown,Unknown,535
CO,El Paso,535
CA,Riverside,529
VA,Prince William,464
CA,Alameda,439
TX,Travis,373
MD,Anne Arundel,372
NC,Cumberland,342
MD,Montgomery,336
VA,Norfolk,334
CA,Ventura,325
CT,New London,316
TX,El Paso,308
VA,Virginia Beach,299
NY,Nassau,294
CA,Contra Costa,281
VA,Goochland,278
IL,Dupage,268
TX,Collin,261
CA,San Francisco,259
MD,Prince George'S,258
CA,Monterey,253
CA,Sacramento,235
UT,Salt Lake,225
FL,Duval,222
FL,Orange,220
VA,Arlington,219
CA,San Mateo,219
DC,District Of Columbia,219
NC,Harnett,216
GA,Fulton,213
WA,Garfield,209
FL,Palm Beach,194
VA,Alexandria,194
CT,New Haven,193
PA,Allegheny,192
TX,Tarrant,191
ID,Kootenai,189
AZ,Pima,189
CA,Marin,188
IL,Cook,188
IL,Lake,185
TX,Harris,176
CA,Solano,172
OR,Deschutes,170
AL,Montgomery,170
MD,Frederick,169
CA,Kings,166
NE,Douglas,165
MD,Charles,164
VA,Stafford,162
MN,Hennepin,158
OR,Clackamas,155
VA,Albemarle,155
TX,Nueces,154
MD,Howard,151
AZ,Pinal,150
TX,Williamson,148
VA,Chesapeake,147
SC,Charleston,145
VA,Loudoun,144
FL,Broward,142
MD,Calvert,141
ID,Ada,140
FL,Hillsborough,140
CA,San Bernardino,139
MA,Suffolk,138
NC,Wake,137
MD,St. Mary'S,136
MA,Middlesex,134
HI,Maui,129
PA,Montgomery,127
CA,Placer,126
MA,Essex,119
CO,Boulder,118
NY,Saratoga,117
GA,Dekalb,115
NV,Washoe,115
MI,Washtenaw,113
KS,Leavenworth,113
ME,Penobscot,113
FL,Okaloosa,112
OR,Lane,112
KS,Sedgwick,110
NJ,Essex,109
VA,Portsmouth,109
MD,Harford,109
NY,Jefferson,108
MT,Flathead,106
GA,Muscogee,105
MO,Pulaski,105
NY,New York,103
FL,Sarasota,102
CA,Sonoma,101
CA,Kern,100
NJ,Hudson,99
SC,Richland,98
NC,Moore,96
NJ,Mercer,96
TX,Dallas,96
FL,Collier,92
NJ,Burlington,91
CO,Arapahoe,90
HI,Hawaii,88
GA,Gwinnett,85
AK,Juneau,84
TX,Montgomery,81
LA,Plaquemines,80
CO,Eagle,78
