state,percent_evs
PR,38.98305084745762711900
ME,14.34010152284263959400
ND,11.33333333333333333300
AR,9.02696365767878077400
IA,8.77862595419847328200
NH,8.69565217391304347800
LA,5.44061302681992337200
NJ,5.31863142532836062900
AL,4.92466517857142857100
IN,4.56791772405502871600
SD,4.46428571428571428600
MI,3.90223580058325232600
NM,3.84478462086151655400
MA,3.71852808263395739200
WY,3.34645669291338582700
NE,3.14317146000314317100
OK,2.96961325966850828700
MN,2.96602215130467430100
DE,2.96143250688705234200
PA,2.94794188861985472200
WI,2.94284097340124504800
NY,2.91110387495929664600
KY,2.87738577212261422800
OH,2.72326792150580696800
MO,2.70993172379812768400
RI,2.46066962484872932600
MS,2.44966442953020134200
GA,2.36070074909720356900
IL,2.34688188600100884100
CT,2.21169722777439819200
MT,2.09797229471993575600
KS,1.66569823745884175900
HI,1.66483547179649527900
SC,1.65876777251184834100
MD,1.62678630774343635800
FL,1.56281955143499897700
Unknown,1.54996088883738447700
AK,1.46245358793665226900
VA,1.44258779376284514300
TN,1.40164330594490091800
WA,1.38984876289083912200
TX,1.34067658820599333700
NV,1.32542727589815137800
UT,1.28966303621279440100
CA,1.28515657587570645400
DC,1.26516464471403812800
NC,1.25739730294046396800
ID,1.21805410252578090000
CO,1.19110292182153198200
OR,0.97409578966985392100
AZ,0.95029766025197286400
